Iteration 0	Error 0.035000000
Iteration 1	Error 0.019324531
Iteration 2	Error 0.013919411
Iteration 3	Error 0.011069240
Iteration 4	Error 0.009277981
Iteration 5	Error 0.008035478
Iteration 6	Error 0.007116946
Iteration 7	Error 0.006406922
Iteration 8	Error 0.005839625
Iteration 9	Error 0.005374662
Iteration 10	Error 0.004985771
Iteration 11	Error 0.004655094
Iteration 12	Error 0.004370038
Iteration 13	Error 0.004121453
Iteration 14	Error 0.003902518
Iteration 15	Error 0.003708043
Iteration 16	Error 0.003534000
Iteration 17	Error 0.003377214
Iteration 18	Error 0.003235147
Iteration 19	Error 0.003105744
Iteration 20	Error 0.002987320
Iteration 21	Error 0.002878484
Iteration 22	Error 0.002778072
Iteration 23	Error 0.002685107
Iteration 24	Error 0.002598758
Iteration 25	Error 0.002518317
Iteration 26	Error 0.002443174
Iteration 27	Error 0.002372802
Iteration 28	Error 0.002306743
Iteration 29	Error 0.002244598
Iteration 30	Error 0.002186015
Iteration 31	Error 0.002130685
Iteration 32	Error 0.002078332
Iteration 33	Error 0.002028715
Iteration 34	Error 0.001981615
Iteration 35	Error 0.001936838
Iteration 36	Error 0.001894211
Iteration 37	Error 0.001853574
Iteration 38	Error 0.001814787
Iteration 39	Error 0.001777722
Iteration 40	Error 0.001742261
Iteration 41	Error 0.001708299
Iteration 42	Error 0.001675738
Iteration 43	Error 0.001644490
Iteration 44	Error 0.001614475
Iteration 45	Error 0.001585617
Iteration 46	Error 0.001557849
Iteration 47	Error 0.001531107
Iteration 48	Error 0.001505333
Iteration 49	Error 0.001480474
Iteration 50	Error 0.001456480
Iteration 51	Error 0.001433304
Iteration 52	Error 0.001410903
Iteration 53	Error 0.001389239
Iteration 54	Error 0.001368273
Iteration 55	Error 0.001347971
Iteration 56	Error 0.001328301
Iteration 57	Error 0.001309232
Iteration 58	Error 0.001290737
Iteration 59	Error 0.001272788
Iteration 60	Error 0.001255362
Iteration 61	Error 0.001238433
Iteration 62	Error 0.001221981
Iteration 63	Error 0.001205985
Iteration 64	Error 0.001190425
Iteration 65	Error 0.001175284
Iteration 66	Error 0.001160543
Iteration 67	Error 0.001146187
Iteration 68	Error 0.001132199
Iteration 69	Error 0.001118566
Iteration 70	Error 0.001105273
Iteration 71	Error 0.001092308
Iteration 72	Error 0.001079657
Iteration 73	Error 0.001067310
Iteration 74	Error 0.001055254
Iteration 75	Error 0.001043480
Iteration 76	Error 0.001031976
Iteration 77	Error 0.001020735
Iteration 78	Error 0.001009745
Iteration 79	Error 0.000998999
Iteration 80	Error 0.000988489
Iteration 81	Error 0.000978205
Iteration 82	Error 0.000968141
Iteration 83	Error 0.000958290
Iteration 84	Error 0.000948644
Iteration 85	Error 0.000939196
Iteration 86	Error 0.000929942
Iteration 87	Error 0.000920873
Iteration 88	Error 0.000911985
Iteration 89	Error 0.000903273
Iteration 90	Error 0.000894730
Iteration 91	Error 0.000886351
Iteration 92	Error 0.000878133
Iteration 93	Error 0.000870069
Iteration 94	Error 0.000862155
Iteration 95	Error 0.000854388
Iteration 96	Error 0.000846763
Iteration 97	Error 0.000839275
Iteration 98	Error 0.000831922
Iteration 99	Error 0.000824699
Iteration 100	Error 0.000817602
Iteration 101	Error 0.000810629
Iteration 102	Error 0.000803776
Iteration 103	Error 0.000797040
Iteration 104	Error 0.000790417
Iteration 105	Error 0.000783905
Iteration 106	Error 0.000777501
Iteration 107	Error 0.000771202
Iteration 108	Error 0.000765005
Iteration 109	Error 0.000758908
Iteration 110	Error 0.000752908
Iteration 111	Error 0.000747004
Iteration 112	Error 0.000741192
Iteration 113	Error 0.000735470
Iteration 114	Error 0.000729836
Iteration 115	Error 0.000724288
Iteration 116	Error 0.000718825
Iteration 117	Error 0.000713443
Iteration 118	Error 0.000708141
Iteration 119	Error 0.000702918
Iteration 120	Error 0.000697771
Iteration 121	Error 0.000692699
Iteration 122	Error 0.000687700
Iteration 123	Error 0.000682772
Iteration 124	Error 0.000677914
Iteration 125	Error 0.000673125
Iteration 126	Error 0.000668402
Iteration 127	Error 0.000663744
Iteration 128	Error 0.000659150
Iteration 129	Error 0.000654619
Iteration 130	Error 0.000650150
Iteration 131	Error 0.000645740
Iteration 132	Error 0.000641389
Iteration 133	Error 0.000637095
Iteration 134	Error 0.000632858
Iteration 135	Error 0.000628675
Iteration 136	Error 0.000624547
Iteration 137	Error 0.000620472
Iteration 138	Error 0.000616448
Iteration 139	Error 0.000612476
Iteration 140	Error 0.000608553
Iteration 141	Error 0.000604680
Iteration 142	Error 0.000600854
Iteration 143	Error 0.000597075
Iteration 144	Error 0.000593342
Iteration 145	Error 0.000589655
Iteration 146	Error 0.000586012
Iteration 147	Error 0.000582412
Iteration 148	Error 0.000578856
Iteration 149	Error 0.000575341
Iteration 150	Error 0.000571867
Iteration 151	Error 0.000568434
Iteration 152	Error 0.000565041
Iteration 153	Error 0.000561686
Iteration 154	Error 0.000558370
Iteration 155	Error 0.000555091
Iteration 156	Error 0.000551850
Iteration 157	Error 0.000548644
Iteration 158	Error 0.000545475
Iteration 159	Error 0.000542340
Iteration 160	Error 0.000539240
Iteration 161	Error 0.000536173
Iteration 162	Error 0.000533140
Iteration 163	Error 0.000530140
Iteration 164	Error 0.000527171
Iteration 165	Error 0.000524235
Iteration 166	Error 0.000521329
Iteration 167	Error 0.000518454
Iteration 168	Error 0.000515609
Iteration 169	Error 0.000512794
Iteration 170	Error 0.000510008
Iteration 171	Error 0.000507250
Iteration 172	Error 0.000504521
Iteration 173	Error 0.000501819
Iteration 174	Error 0.000499145
Iteration 175	Error 0.000496497
Iteration 176	Error 0.000493876
Iteration 177	Error 0.000491281
Iteration 178	Error 0.000488712
Iteration 179	Error 0.000486167
Iteration 180	Error 0.000483648
Iteration 181	Error 0.000481153
Iteration 182	Error 0.000478682
Iteration 183	Error 0.000476235
Iteration 184	Error 0.000473812
Iteration 185	Error 0.000471411
Iteration 186	Error 0.000469033
Iteration 187	Error 0.000466678
Iteration 188	Error 0.000464344
Iteration 189	Error 0.000462032
Iteration 190	Error 0.000459742
Iteration 191	Error 0.000457472
Iteration 192	Error 0.000455224
Iteration 193	Error 0.000452995
Iteration 194	Error 0.000450787
Iteration 195	Error 0.000448599
Iteration 196	Error 0.000446431
Iteration 197	Error 0.000444282
Iteration 198	Error 0.000442152
Iteration 199	Error 0.000440041
Iteration 200	Error 0.000437948
Iteration 201	Error 0.000435874
Iteration 202	Error 0.000433818
Iteration 203	Error 0.000431779
Iteration 204	Error 0.000429758
Iteration 205	Error 0.000427755
Iteration 206	Error 0.000425768
Iteration 207	Error 0.000423799
Iteration 208	Error 0.000421846
Iteration 209	Error 0.000419909
Iteration 210	Error 0.000417989
Iteration 211	Error 0.000416085
Iteration 212	Error 0.000414196
Iteration 213	Error 0.000412324
Iteration 214	Error 0.000410466
Iteration 215	Error 0.000408624
Iteration 216	Error 0.000406796
Iteration 217	Error 0.000404984
Iteration 218	Error 0.000403186
Iteration 219	Error 0.000401403
Iteration 220	Error 0.000399634
Iteration 221	Error 0.000397878
Iteration 222	Error 0.000396137
Iteration 223	Error 0.000394410
Iteration 224	Error 0.000392696
Iteration 225	Error 0.000390995
Iteration 226	Error 0.000389308
Iteration 227	Error 0.000387634
Iteration 228	Error 0.000385973
Iteration 229	Error 0.000384324
Iteration 230	Error 0.000382688
Iteration 231	Error 0.000381065
Iteration 232	Error 0.000379454
Iteration 233	Error 0.000377855
Iteration 234	Error 0.000376268
Iteration 235	Error 0.000374693
Iteration 236	Error 0.000373130
Iteration 237	Error 0.000371578
Iteration 238	Error 0.000370038
Iteration 239	Error 0.000368509
Iteration 240	Error 0.000366992
Iteration 241	Error 0.000365485
Iteration 242	Error 0.000363990
Iteration 243	Error 0.000362505
Iteration 244	Error 0.000361031
Iteration 245	Error 0.000359567
Iteration 246	Error 0.000358114
Iteration 247	Error 0.000356672
Iteration 248	Error 0.000355239
Iteration 249	Error 0.000353817
Iteration 250	Error 0.000352405
Iteration 251	Error 0.000351003
Iteration 252	Error 0.000349610
Iteration 253	Error 0.000348227
Iteration 254	Error 0.000346854
Iteration 255	Error 0.000345491
Iteration 256	Error 0.000344136
Iteration 257	Error 0.000342791
Iteration 258	Error 0.000341455
Iteration 259	Error 0.000340129
Iteration 260	Error 0.000338811
Iteration 261	Error 0.000337502
Iteration 262	Error 0.000336202
Iteration 263	Error 0.000334911
Iteration 264	Error 0.000333628
Iteration 265	Error 0.000332354
Iteration 266	Error 0.000331088
Iteration 267	Error 0.000329831
Iteration 268	Error 0.000328581
Iteration 269	Error 0.000327341
