Iteration 0	Error 5.0000000000
Iteration 1	Error 2.7716947283
Iteration 2	Error 2.0009763242
Iteration 3	Error 1.5944009087
Iteration 4	Error 1.3388050973
Iteration 5	Error 1.1614629406
Iteration 6	Error 1.0303254740
Iteration 7	Error 0.9289287859
Iteration 8	Error 0.8478926372
Iteration 9	Error 0.7814562171
Iteration 10	Error 0.7258738289
Iteration 11	Error 0.6785981107
Iteration 12	Error 0.6378325781
Iteration 13	Error 0.6022717107
Iteration 14	Error 0.5709425603
Iteration 15	Error 0.5431042857
Iteration 16	Error 0.5181822291
Iteration 17	Error 0.4957233781
Iteration 18	Error 0.4753655036
Iteration 19	Error 0.4568152941
Iteration 20	Error 0.4398325560
Iteration 21	Error 0.4242185960
Iteration 22	Error 0.4098075425
Iteration 23	Error 0.3964597712
Iteration 24	Error 0.3840568594
Iteration 25	Error 0.3724976684
Iteration 26	Error 0.3616952696
Iteration 27	Error 0.3515745070
Iteration 28	Error 0.3420700496
Iteration 29	Error 0.3331248192
Iteration 30	Error 0.3246887134
Iteration 31	Error 0.3167175601
Iteration 32	Error 0.3091722556
Iteration 33	Error 0.3020180500
Iteration 34	Error 0.2952239509
Iteration 35	Error 0.2887622230
Iteration 36	Error 0.2826079667
Iteration 37	Error 0.2767387602
Iteration 38	Error 0.2711343550
Iteration 39	Error 0.2657764164
Iteration 40	Error 0.2606482989
Iteration 41	Error 0.2557348544
Iteration 42	Error 0.2510222651
Iteration 43	Error 0.2464978985
Iteration 44	Error 0.2421501814
Iteration 45	Error 0.2379684897
Iteration 46	Error 0.2339430513
Iteration 47	Error 0.2300648612
Iteration 48	Error 0.2263256065
Iteration 49	Error 0.2227175996
Iteration 50	Error 0.2192337200
Iteration 51	Error 0.2158673613
Iteration 52	Error 0.2126123849
Iteration 53	Error 0.2094630786
Iteration 54	Error 0.2064141188
Iteration 55	Error 0.2034605375
Iteration 56	Error 0.2005976925
Iteration 57	Error 0.1978212397
Iteration 58	Error 0.1951271096
Iteration 59	Error 0.1925114845
Iteration 60	Error 0.1899707796
Iteration 61	Error 0.1875016240
Iteration 62	Error 0.1851008450
Iteration 63	Error 0.1827654532
Iteration 64	Error 0.1804926288
Iteration 65	Error 0.1782797095
Iteration 66	Error 0.1761241791
Iteration 67	Error 0.1740236575
Iteration 68	Error 0.1719758913
Iteration 69	Error 0.1699787448
Iteration 70	Error 0.1680301930
Iteration 71	Error 0.1661283136
Iteration 72	Error 0.1642712806
Iteration 73	Error 0.1624573586
Iteration 74	Error 0.1606848967
Iteration 75	Error 0.1589523234
Iteration 76	Error 0.1572581422
Iteration 77	Error 0.1556009268
Iteration 78	Error 0.1539793171
Iteration 79	Error 0.1523920156
Iteration 80	Error 0.1508377836
Iteration 81	Error 0.1493154382
Iteration 82	Error 0.1478238492
Iteration 83	Error 0.1463619361
Iteration 84	Error 0.1449286658
Iteration 85	Error 0.1435230500
Iteration 86	Error 0.1421441426
Iteration 87	Error 0.1407910381
Iteration 88	Error 0.1394628692
Iteration 89	Error 0.1381588051
Iteration 90	Error 0.1368780496
Iteration 91	Error 0.1356198396
Iteration 92	Error 0.1343834434
Iteration 93	Error 0.1331681593
Iteration 94	Error 0.1319733141
Iteration 95	Error 0.1307982619
Iteration 96	Error 0.1296423830
Iteration 97	Error 0.1285050824
Iteration 98	Error 0.1273857888
Iteration 99	Error 0.1262839538
Iteration 100	Error 0.1251990506
Iteration 101	Error 0.1241305730
Iteration 102	Error 0.1230780350
Iteration 103	Error 0.1220409694
Iteration 104	Error 0.1210189272
Iteration 105	Error 0.1200114767
Iteration 106	Error 0.1190182032
Iteration 107	Error 0.1180387078
Iteration 108	Error 0.1170726068
Iteration 109	Error 0.1161195314
Iteration 110	Error 0.1151791266
Iteration 111	Error 0.1142510512
Iteration 112	Error 0.1133349766
Iteration 113	Error 0.1124305868
Iteration 114	Error 0.1115375776
Iteration 115	Error 0.1106556561
Iteration 116	Error 0.1097845406
Iteration 117	Error 0.1089239595
Iteration 118	Error 0.1080736517
Iteration 119	Error 0.1072333653
Iteration 120	Error 0.1064028579
Iteration 121	Error 0.1055818960
Iteration 122	Error 0.1047702546
Iteration 123	Error 0.1039677166
Iteration 124	Error 0.1031740731
Iteration 125	Error 0.1023891226
Iteration 126	Error 0.1016126709
Iteration 127	Error 0.1008445304
Iteration 128	Error 0.1000845206
Iteration 129	Error 0.0993324672
Iteration 130	Error 0.0985882018
Iteration 131	Error 0.0978515624
Iteration 132	Error 0.0971223921
Iteration 133	Error 0.0964005398
Iteration 134	Error 0.0956858594
Iteration 135	Error 0.0949782099
Iteration 136	Error 0.0942774550
Iteration 137	Error 0.0935834632
Iteration 138	Error 0.0928961072
Iteration 139	Error 0.0922152640
Iteration 140	Error 0.0915408148
Iteration 141	Error 0.0908726445
Iteration 142	Error 0.0902106420
Iteration 143	Error 0.0895546996
Iteration 144	Error 0.0889047133
Iteration 145	Error 0.0882605820
Iteration 146	Error 0.0876222084
Iteration 147	Error 0.0869894977
Iteration 148	Error 0.0863623584
Iteration 149	Error 0.0857407018
Iteration 150	Error 0.0851244417
Iteration 151	Error 0.0845134947
Iteration 152	Error 0.0839077800
Iteration 153	Error 0.0833072190
Iteration 154	Error 0.0827117355
Iteration 155	Error 0.0821212555
Iteration 156	Error 0.0815357073
Iteration 157	Error 0.0809550210
Iteration 158	Error 0.0803791289
Iteration 159	Error 0.0798079652
Iteration 160	Error 0.0792414657
Iteration 161	Error 0.0786795682
Iteration 162	Error 0.0781222121
Iteration 163	Error 0.0775693384
Iteration 164	Error 0.0770208897
Iteration 165	Error 0.0764768101
Iteration 166	Error 0.0759370451
Iteration 167	Error 0.0754015418
Iteration 168	Error 0.0748702483
Iteration 169	Error 0.0743431143
Iteration 170	Error 0.0738200905
Iteration 171	Error 0.0733011290
Iteration 172	Error 0.0727861830
Iteration 173	Error 0.0722752067
Iteration 174	Error 0.0717681555
Iteration 175	Error 0.0712649858
Iteration 176	Error 0.0707656548
Iteration 177	Error 0.0702701210
Iteration 178	Error 0.0697783435
Iteration 179	Error 0.0692902825
Iteration 180	Error 0.0688058991
Iteration 181	Error 0.0683251550
Iteration 182	Error 0.0678480128
Iteration 183	Error 0.0673744359
Iteration 184	Error 0.0669043884
Iteration 185	Error 0.0664378353
Iteration 186	Error 0.0659747419
Iteration 187	Error 0.0655150746
Iteration 188	Error 0.0650588001
Iteration 189	Error 0.0646058859
Iteration 190	Error 0.0641563002
Iteration 191	Error 0.0637100115
Iteration 192	Error 0.0632669892
Iteration 193	Error 0.0628272028
Iteration 194	Error 0.0623906229
Iteration 195	Error 0.0619572200
Iteration 196	Error 0.0615269656
Iteration 197	Error 0.0610998315
Iteration 198	Error 0.0606757897
Iteration 199	Error 0.0602548132
Iteration 200	Error 0.0598368748
Iteration 201	Error 0.0594219483
Iteration 202	Error 0.0590100076
Iteration 203	Error 0.0586010269
Iteration 204	Error 0.0581949811
Iteration 205	Error 0.0577918452
Iteration 206	Error 0.0573915947
Iteration 207	Error 0.0569942054
Iteration 208	Error 0.0565996535
Iteration 209	Error 0.0562079154
Iteration 210	Error 0.0558189681
Iteration 211	Error 0.0554327886
Iteration 212	Error 0.0550493543
Iteration 213	Error 0.0546686429
Iteration 214	Error 0.0542906326
Iteration 215	Error 0.0539153015
Iteration 216	Error 0.0535426284
Iteration 217	Error 0.0531725919
Iteration 218	Error 0.0528051712
Iteration 219	Error 0.0524403457
Iteration 220	Error 0.0520780950
Iteration 221	Error 0.0517183988
Iteration 222	Error 0.0513612374
Iteration 223	Error 0.0510065909
Iteration 224	Error 0.0506544400
Iteration 225	Error 0.0503047653
Iteration 226	Error 0.0499575479
Iteration 227	Error 0.0496127689
Iteration 228	Error 0.0492704097
Iteration 229	Error 0.0489304519
Iteration 230	Error 0.0485928772
Iteration 231	Error 0.0482576677
Iteration 232	Error 0.0479248054
Iteration 233	Error 0.0475942727
Iteration 234	Error 0.0472660522
Iteration 235	Error 0.0469401265
Iteration 236	Error 0.0466164785
Iteration 237	Error 0.0462950912
Iteration 238	Error 0.0459759479
Iteration 239	Error 0.0456590318
Iteration 240	Error 0.0453443266
Iteration 241	Error 0.0450318159
Iteration 242	Error 0.0447214836
Iteration 243	Error 0.0444133136
Iteration 244	Error 0.0441072901
Iteration 245	Error 0.0438033973
Iteration 246	Error 0.0435016198
Iteration 247	Error 0.0432019420
Iteration 248	Error 0.0429043486
Iteration 249	Error 0.0426088246
Iteration 250	Error 0.0423153549
Iteration 251	Error 0.0420239246
Iteration 252	Error 0.0417345189
Iteration 253	Error 0.0414471232
Iteration 254	Error 0.0411617231
Iteration 255	Error 0.0408783041
Iteration 256	Error 0.0405968520
Iteration 257	Error 0.0403173526
Iteration 258	Error 0.0400397920
Iteration 259	Error 0.0397641561
Iteration 260	Error 0.0394904314
Iteration 261	Error 0.0392186040
Iteration 262	Error 0.0389486604
Iteration 263	Error 0.0386805873
Iteration 264	Error 0.0384143712
Iteration 265	Error 0.0381499988
Iteration 266	Error 0.0378874572
Iteration 267	Error 0.0376267333
Iteration 268	Error 0.0373678142
Iteration 269	Error 0.0371106870
Iteration 270	Error 0.0368553391
Iteration 271	Error 0.0366017579
Iteration 272	Error 0.0363499308
Iteration 273	Error 0.0360998455
Iteration 274	Error 0.0358514896
Iteration 275	Error 0.0356048510
Iteration 276	Error 0.0353599174
Iteration 277	Error 0.0351166770
Iteration 278	Error 0.0348751176
Iteration 279	Error 0.0346352276
Iteration 280	Error 0.0343969952
Iteration 281	Error 0.0341604087
Iteration 282	Error 0.0339254565
Iteration 283	Error 0.0336921271
Iteration 284	Error 0.0334604092
Iteration 285	Error 0.0332302914
Iteration 286	Error 0.0330017626
Iteration 287	Error 0.0327748115
Iteration 288	Error 0.0325494271
Iteration 289	Error 0.0323255985
Iteration 290	Error 0.0321033148
Iteration 291	Error 0.0318825650
Iteration 292	Error 0.0316633386
Iteration 293	Error 0.0314456249
Iteration 294	Error 0.0312294132
Iteration 295	Error 0.0310146931
Iteration 296	Error 0.0308014542
Iteration 297	Error 0.0305896861
Iteration 298	Error 0.0303793786
Iteration 299	Error 0.0301705215
Iteration 300	Error 0.0299631046
Iteration 301	Error 0.0297571179
Iteration 302	Error 0.0295525516
Iteration 303	Error 0.0293493955
Iteration 304	Error 0.0291476400
Iteration 305	Error 0.0289472753
Iteration 306	Error 0.0287482917
Iteration 307	Error 0.0285506796
Iteration 308	Error 0.0283544294
Iteration 309	Error 0.0281595318
Iteration 310	Error 0.0279659772
Iteration 311	Error 0.0277737563
Iteration 312	Error 0.0275828599
Iteration 313	Error 0.0273932788
Iteration 314	Error 0.0272050038
Iteration 315	Error 0.0270180259
Iteration 316	Error 0.0268323360
Iteration 317	Error 0.0266479252
Iteration 318	Error 0.0264647847
Iteration 319	Error 0.0262829056
Iteration 320	Error 0.0261022791
Iteration 321	Error 0.0259228967
Iteration 322	Error 0.0257447495
Iteration 323	Error 0.0255678292
Iteration 324	Error 0.0253921272
Iteration 325	Error 0.0252176350
Iteration 326	Error 0.0250443442
Iteration 327	Error 0.0248722466
Iteration 328	Error 0.0247013339
Iteration 329	Error 0.0245315978
Iteration 330	Error 0.0243630302
Iteration 331	Error 0.0241956231
Iteration 332	Error 0.0240293683
Iteration 333	Error 0.0238642579
Iteration 334	Error 0.0237002840
Iteration 335	Error 0.0235374387
Iteration 336	Error 0.0233757143
Iteration 337	Error 0.0232151029
Iteration 338	Error 0.0230555968
Iteration 339	Error 0.0228971885
Iteration 340	Error 0.0227398703
Iteration 341	Error 0.0225836346
Iteration 342	Error 0.0224284741
Iteration 343	Error 0.0222743812
Iteration 344	Error 0.0221213486
Iteration 345	Error 0.0219693690
Iteration 346	Error 0.0218184350
Iteration 347	Error 0.0216685395
Iteration 348	Error 0.0215196752
Iteration 349	Error 0.0213718351
Iteration 350	Error 0.0212250121
Iteration 351	Error 0.0210791991
Iteration 352	Error 0.0209343892
Iteration 353	Error 0.0207905754
Iteration 354	Error 0.0206477509
Iteration 355	Error 0.0205059088
Iteration 356	Error 0.0203650424
Iteration 357	Error 0.0202251449
Iteration 358	Error 0.0200862096
Iteration 359	Error 0.0199482299
Iteration 360	Error 0.0198111992
Iteration 361	Error 0.0196751109
Iteration 362	Error 0.0195399585
Iteration 363	Error 0.0194057356
Iteration 364	Error 0.0192724358
Iteration 365	Error 0.0191400527
Iteration 366	Error 0.0190085799
Iteration 367	Error 0.0188780112
Iteration 368	Error 0.0187483404
Iteration 369	Error 0.0186195612
Iteration 370	Error 0.0184916675
Iteration 371	Error 0.0183646533
Iteration 372	Error 0.0182385123
Iteration 373	Error 0.0181132387
Iteration 374	Error 0.0179888264
Iteration 375	Error 0.0178652695
Iteration 376	Error 0.0177425621
Iteration 377	Error 0.0176206983
Iteration 378	Error 0.0174996723
Iteration 379	Error 0.0173794784
Iteration 380	Error 0.0172601108
Iteration 381	Error 0.0171415638
Iteration 382	Error 0.0170238318
Iteration 383	Error 0.0169069091
Iteration 384	Error 0.0167907902
Iteration 385	Error 0.0166754695
Iteration 386	Error 0.0165609415
Iteration 387	Error 0.0164472008
Iteration 388	Error 0.0163342419
Iteration 389	Error 0.0162220595
Iteration 390	Error 0.0161106482
Iteration 391	Error 0.0160000026
Iteration 392	Error 0.0158901176
Iteration 393	Error 0.0157809879
Iteration 394	Error 0.0156726082
Iteration 395	Error 0.0155649734
Iteration 396	Error 0.0154580784
Iteration 397	Error 0.0153519181
Iteration 398	Error 0.0152464874
Iteration 399	Error 0.0151417813
Iteration 400	Error 0.0150377948
Iteration 401	Error 0.0149345229
Iteration 402	Error 0.0148319608
Iteration 403	Error 0.0147301035
Iteration 404	Error 0.0146289462
Iteration 405	Error 0.0145284841
Iteration 406	Error 0.0144287123
Iteration 407	Error 0.0143296262
Iteration 408	Error 0.0142312210
Iteration 409	Error 0.0141334920
Iteration 410	Error 0.0140364345
Iteration 411	Error 0.0139400441
Iteration 412	Error 0.0138443159
Iteration 413	Error 0.0137492456
Iteration 414	Error 0.0136548285
Iteration 415	Error 0.0135610602
Iteration 416	Error 0.0134679362
Iteration 417	Error 0.0133754520
Iteration 418	Error 0.0132836033
Iteration 419	Error 0.0131923857
Iteration 420	Error 0.0131017949
Iteration 421	Error 0.0130118265
Iteration 422	Error 0.0129224762
Iteration 423	Error 0.0128337399
Iteration 424	Error 0.0127456132
Iteration 425	Error 0.0126580920
Iteration 426	Error 0.0125711721
Iteration 427	Error 0.0124848494
Iteration 428	Error 0.0123991198
Iteration 429	Error 0.0123139791
Iteration 430	Error 0.0122294234
Iteration 431	Error 0.0121454486
Iteration 432	Error 0.0120620507
Iteration 433	Error 0.0119792257
Iteration 434	Error 0.0118969697
Iteration 435	Error 0.0118152789
Iteration 436	Error 0.0117341492
Iteration 437	Error 0.0116535769
Iteration 438	Error 0.0115735581
Iteration 439	Error 0.0114940890
