Iteration 0	Error 0.084862
Iteration 1	Error 0.045156
Iteration 2	Error 0.031235
Iteration 3	Error 0.024323
Iteration 4	Error 0.020156
Iteration 5	Error 0.017341
Iteration 6	Error 0.015295
Iteration 7	Error 0.013734
Iteration 8	Error 0.012498
Iteration 9	Error 0.011492
Iteration 10	Error 0.010655
Iteration 11	Error 0.009946
Iteration 12	Error 0.009338
Iteration 13	Error 0.008809
Iteration 14	Error 0.008344
Iteration 15	Error 0.007932
Iteration 16	Error 0.007564
Iteration 17	Error 0.007233
Iteration 18	Error 0.006933
Iteration 19	Error 0.006660
Iteration 20	Error 0.006411
Iteration 21	Error 0.006182
Iteration 22	Error 0.005971
Iteration 23	Error 0.005776
Iteration 24	Error 0.005595
Iteration 25	Error 0.005426
Iteration 26	Error 0.005269
Iteration 27	Error 0.005122
Iteration 28	Error 0.004983
Iteration 29	Error 0.004853
Iteration 30	Error 0.004731
Iteration 31	Error 0.004615
Iteration 32	Error 0.004505
Iteration 33	Error 0.004402
Iteration 34	Error 0.004303
Iteration 35	Error 0.004209
Iteration 36	Error 0.004120
Iteration 37	Error 0.004035
Iteration 38	Error 0.003954
Iteration 39	Error 0.003877
Iteration 40	Error 0.003803
Iteration 41	Error 0.003732
Iteration 42	Error 0.003664
Iteration 43	Error 0.003599
Iteration 44	Error 0.003536
Iteration 45	Error 0.003476
Iteration 46	Error 0.003418
Iteration 47	Error 0.003362
Iteration 48	Error 0.003308
Iteration 49	Error 0.003256
Iteration 50	Error 0.003206
Iteration 51	Error 0.003158
Iteration 52	Error 0.003111
Iteration 53	Error 0.003066
Iteration 54	Error 0.003022
Iteration 55	Error 0.002980
Iteration 56	Error 0.002939
Iteration 57	Error 0.002899
Iteration 58	Error 0.002860
Iteration 59	Error 0.002823
Iteration 60	Error 0.002787
Iteration 61	Error 0.002752
Iteration 62	Error 0.002717
Iteration 63	Error 0.002684
Iteration 64	Error 0.002652
Iteration 65	Error 0.002620
Iteration 66	Error 0.002590
Iteration 67	Error 0.002560
Iteration 68	Error 0.002531
Iteration 69	Error 0.002503
Iteration 70	Error 0.002475
Iteration 71	Error 0.002448
Iteration 72	Error 0.002422
Iteration 73	Error 0.002397
Iteration 74	Error 0.002372
Iteration 75	Error 0.002347
Iteration 76	Error 0.002324
Iteration 77	Error 0.002300
Iteration 78	Error 0.002278
Iteration 79	Error 0.002256
Iteration 80	Error 0.002234
Iteration 81	Error 0.002213
Iteration 82	Error 0.002192
Iteration 83	Error 0.002172
Iteration 84	Error 0.002152
Iteration 85	Error 0.002133
Iteration 86	Error 0.002114
Iteration 87	Error 0.002096
Iteration 88	Error 0.002078
Iteration 89	Error 0.002060
Iteration 90	Error 0.002043
Iteration 91	Error 0.002025
Iteration 92	Error 0.002009
Iteration 93	Error 0.001992
Iteration 94	Error 0.001976
Iteration 95	Error 0.001961
Iteration 96	Error 0.001945
Iteration 97	Error 0.001930
Iteration 98	Error 0.001915
Iteration 99	Error 0.001901
Iteration 100	Error 0.001886
Iteration 101	Error 0.001872
Iteration 102	Error 0.001859
Iteration 103	Error 0.001845
Iteration 104	Error 0.001832
Iteration 105	Error 0.001819
Iteration 106	Error 0.001806
Iteration 107	Error 0.001793
Iteration 108	Error 0.001781
Iteration 109	Error 0.001769
Iteration 110	Error 0.001757
Iteration 111	Error 0.001745
Iteration 112	Error 0.001733
Iteration 113	Error 0.001722
Iteration 114	Error 0.001710
Iteration 115	Error 0.001699
Iteration 116	Error 0.001688
Iteration 117	Error 0.001678
Iteration 118	Error 0.001667
