Iteration 0	Error 6.9726138190
Iteration 1	Error 3.6645812281
Iteration 2	Error 2.4805044822
Iteration 3	Error 1.9092867933
Iteration 4	Error 1.5726219540
Iteration 5	Error 1.3484160046
Iteration 6	Error 1.1870218284
Iteration 7	Error 1.0645096797
Iteration 8	Error 0.9678739093
Iteration 9	Error 0.8894051149
Iteration 10	Error 0.8242255231
Iteration 11	Error 0.7690884415
Iteration 12	Error 0.7217433850
Iteration 13	Error 0.6805777471
Iteration 14	Error 0.6444035695
Iteration 15	Error 0.6123249669
Iteration 16	Error 0.5836525966
Iteration 17	Error 0.5578467068
Iteration 18	Error 0.5344781654
Iteration 19	Error 0.5132011481
Iteration 20	Error 0.4937335919
Iteration 21	Error 0.4758429418
Iteration 22	Error 0.4593355849
Iteration 23	Error 0.4440488976
Iteration 24	Error 0.4298451814
Iteration 25	Error 0.4166069793
Iteration 26	Error 0.4042334199
Iteration 27	Error 0.3926373340
Iteration 28	Error 0.3817429594
Iteration 29	Error 0.3714840973
Iteration 30	Error 0.3618026209
Iteration 31	Error 0.3526472589
Iteration 32	Error 0.3439725969
Iteration 33	Error 0.3357382516
Iteration 34	Error 0.3279081846
Iteration 35	Error 0.3204501276
Iteration 36	Error 0.3133350999
Iteration 37	Error 0.3065369991
Iteration 38	Error 0.3000322539
Iteration 39	Error 0.2937995270
Iteration 40	Error 0.2878194605
Iteration 41	Error 0.2820744554
Iteration 42	Error 0.2765484816
Iteration 43	Error 0.2712269119
Iteration 44	Error 0.2660963773
Iteration 45	Error 0.2611446398
Iteration 46	Error 0.2563604809
Iteration 47	Error 0.2517336023
Iteration 48	Error 0.2472545390
Iteration 49	Error 0.2429145811
Iteration 50	Error 0.2387057046
Iteration 51	Error 0.2346205090
Iteration 52	Error 0.2306521623
Iteration 53	Error 0.2267943502
Iteration 54	Error 0.2230412321
Iteration 55	Error 0.2193873995
Iteration 56	Error 0.2158278400
Iteration 57	Error 0.2123579038
Iteration 58	Error 0.2089732735
Iteration 59	Error 0.2056699368
Iteration 60	Error 0.2024441616
Iteration 61	Error 0.1992924732
Iteration 62	Error 0.1962116338
Iteration 63	Error 0.1931986235
Iteration 64	Error 0.1902506230
Iteration 65	Error 0.1873649980
Iteration 66	Error 0.1845392848
Iteration 67	Error 0.1817711770
Iteration 68	Error 0.1790585131
Iteration 69	Error 0.1763992661
Iteration 70	Error 0.1737915328
Iteration 71	Error 0.1712335246
Iteration 72	Error 0.1687235587
Iteration 73	Error 0.1662600509
Iteration 74	Error 0.1638415075
Iteration 75	Error 0.1614665191
Iteration 76	Error 0.1591337547
Iteration 77	Error 0.1568419553
Iteration 78	Error 0.1545899296
Iteration 79	Error 0.1523765484
Iteration 80	Error 0.1502007409
Iteration 81	Error 0.1480614902
Iteration 82	Error 0.1459578295
Iteration 83	Error 0.1438888391
Iteration 84	Error 0.1418536426
Iteration 85	Error 0.1398514047
Iteration 86	Error 0.1378813276
Iteration 87	Error 0.1359426493
Iteration 88	Error 0.1340346407
Iteration 89	Error 0.1321566038
Iteration 90	Error 0.1303078695
Iteration 91	Error 0.1284877960
Iteration 92	Error 0.1266957669
Iteration 93	Error 0.1249311896
Iteration 94	Error 0.1231934941
Iteration 95	Error 0.1214821313
Iteration 96	Error 0.1197965720
Iteration 97	Error 0.1181363058
Iteration 98	Error 0.1165008396
Iteration 99	Error 0.1148896972
Iteration 100	Error 0.1133024178
Iteration 101	Error 0.1117385555
Iteration 102	Error 0.1101976786
Iteration 103	Error 0.1086793682
Iteration 104	Error 0.1071832183
Iteration 105	Error 0.1057088347
Iteration 106	Error 0.1042558345
Iteration 107	Error 0.1028238454
Iteration 108	Error 0.1014125056
Iteration 109	Error 0.1000214628
Iteration 110	Error 0.0986503739
Iteration 111	Error 0.0972989050
Iteration 112	Error 0.0959667301
Iteration 113	Error 0.0946535317
Iteration 114	Error 0.0933589998
Iteration 115	Error 0.0920828318
Iteration 116	Error 0.0908247323
Iteration 117	Error 0.0895844124
Iteration 118	Error 0.0883615901
Iteration 119	Error 0.0871559893
Iteration 120	Error 0.0859673401
Iteration 121	Error 0.0847953783
Iteration 122	Error 0.0836398453
Iteration 123	Error 0.0825004879
Iteration 124	Error 0.0813770581
Iteration 125	Error 0.0802693128
Iteration 126	Error 0.0791770139
Iteration 127	Error 0.0780999278
Iteration 128	Error 0.0770378255
Iteration 129	Error 0.0759904824
Iteration 130	Error 0.0749576781
Iteration 131	Error 0.0739391963
Iteration 132	Error 0.0729348248
Iteration 133	Error 0.0719443550
Iteration 134	Error 0.0709675824
Iteration 135	Error 0.0700043060
Iteration 136	Error 0.0690543284
Iteration 137	Error 0.0681174554
Iteration 138	Error 0.0671934966
Iteration 139	Error 0.0662822646
Iteration 140	Error 0.0653835751
Iteration 141	Error 0.0644972473
Iteration 142	Error 0.0636231030
Iteration 143	Error 0.0627609673
Iteration 144	Error 0.0619106680
Iteration 145	Error 0.0610720358
Iteration 146	Error 0.0602449040
Iteration 147	Error 0.0594291089
Iteration 148	Error 0.0586244893
Iteration 149	Error 0.0578308864
Iteration 150	Error 0.0570481441
Iteration 151	Error 0.0562761087
