Iteration 0	Error 0.553968
Iteration 1	Error 0.147622
Iteration 2	Error 0.137925
Iteration 3	Error 0.129245
Iteration 4	Error 0.121259
Iteration 5	Error 0.113864
Iteration 6	Error 0.106995
Iteration 7	Error 0.100603
Iteration 8	Error 0.094647
Iteration 9	Error 0.089092
Iteration 10	Error 0.083915
Iteration 11	Error 0.079086
Iteration 12	Error 0.074576
Iteration 13	Error 0.070363
Iteration 14	Error 0.066427
Iteration 15	Error 0.062747
Iteration 16	Error 0.059308
Iteration 17	Error 0.056091
Iteration 18	Error 0.053083
Iteration 19	Error 0.050270
Iteration 20	Error 0.047638
Iteration 21	Error 0.045176
Iteration 22	Error 0.042871
Iteration 23	Error 0.040715
Iteration 24	Error 0.038696
Iteration 25	Error 0.036806
Iteration 26	Error 0.035036
Iteration 27	Error 0.033378
Iteration 28	Error 0.031825
Iteration 29	Error 0.030369
Iteration 30	Error 0.029004
Iteration 31	Error 0.027723
Iteration 32	Error 0.026521
Iteration 33	Error 0.025392
Iteration 34	Error 0.024332
Iteration 35	Error 0.023335
Iteration 36	Error 0.022399
Iteration 37	Error 0.021518
Iteration 38	Error 0.020689
Iteration 39	Error 0.019909
Iteration 40	Error 0.019175
Iteration 41	Error 0.018484
Iteration 42	Error 0.017832
Iteration 43	Error 0.017217
Iteration 44	Error 0.016636
Iteration 45	Error 0.016088
Iteration 46	Error 0.015569
Iteration 47	Error 0.015077
Iteration 48	Error 0.014610
Iteration 49	Error 0.014377
Iteration 50	Error 0.014016
Iteration 51	Error 0.013597
Iteration 52	Error 0.013115
Iteration 53	Error 0.012705
Iteration 54	Error 0.012311
Iteration 55	Error 0.011947
Iteration 56	Error 0.011604
Iteration 57	Error 0.011273
Iteration 58	Error 0.010959
Iteration 59	Error 0.010657
Iteration 60	Error 0.010364
Iteration 61	Error 0.010082
Iteration 62	Error 0.009808
Iteration 63	Error 0.009541
Iteration 64	Error 0.009282
Iteration 65	Error 0.009029
Iteration 66	Error 0.008781
Iteration 67	Error 0.008539
Iteration 68	Error 0.008302
Iteration 69	Error 0.008071
Iteration 70	Error 0.007846
Iteration 71	Error 0.007626
Iteration 72	Error 0.007412
Iteration 73	Error 0.007204
Iteration 74	Error 0.007002
Iteration 75	Error 0.006805
Iteration 76	Error 0.006613
Iteration 77	Error 0.006426
Iteration 78	Error 0.006245
Iteration 79	Error 0.006068
Iteration 80	Error 0.005896
Iteration 81	Error 0.005728
Iteration 82	Error 0.005564
Iteration 83	Error 0.005403
Iteration 84	Error 0.005246
Iteration 85	Error 0.005091
Iteration 86	Error 0.004939
Iteration 87	Error 0.004788
Iteration 88	Error 0.004640
Iteration 89	Error 0.004494
Iteration 90	Error 0.004348
Iteration 91	Error 0.004204
Iteration 92	Error 0.004061
Iteration 93	Error 0.003919
Iteration 94	Error 0.003777
Iteration 95	Error 0.003637
Iteration 96	Error 0.003498
Iteration 97	Error 0.003361
Iteration 98	Error 0.003226
Iteration 99	Error 0.008289
Iteration 100	Error 0.003222
Iteration 101	Error 0.001555
Iteration 102	Error 0.000984
Iteration 103	Error 0.000751
Iteration 104	Error 0.000604
Iteration 105	Error 0.000518
Iteration 106	Error 0.000462
Iteration 107	Error 0.000422
Iteration 108	Error 0.000391
Iteration 109	Error 0.000361
Iteration 110	Error 0.000334
Iteration 111	Error 0.000313
Iteration 112	Error 0.000294
Iteration 113	Error 0.000278
Iteration 114	Error 0.000263
Iteration 115	Error 0.000248
Iteration 116	Error 0.000235
Iteration 117	Error 0.000222
Iteration 118	Error 0.000211
Iteration 119	Error 0.000200
Iteration 120	Error 0.000190
Iteration 121	Error 0.000181
Iteration 122	Error 0.000172
Iteration 123	Error 0.000164
Iteration 124	Error 0.000156
Iteration 125	Error 0.000149
Iteration 126	Error 0.000142
Iteration 127	Error 0.000136
Iteration 128	Error 0.000130
Iteration 129	Error 0.000124
Iteration 130	Error 0.000118
Iteration 131	Error 0.000113
Iteration 132	Error 0.000108
Iteration 133	Error 0.000104
Iteration 134	Error 0.000100
Iteration 135	Error 0.000096
Iteration 136	Error 0.000092
Iteration 137	Error 0.000088
Iteration 138	Error 0.000085
Iteration 139	Error 0.000082
Iteration 140	Error 0.000079
Iteration 141	Error 0.000076
Iteration 142	Error 0.000073
Iteration 143	Error 0.000071
Iteration 144	Error 0.000068
Iteration 145	Error 0.000066
Iteration 146	Error 0.000064
Iteration 147	Error 0.000062
Iteration 148	Error 0.000061
Iteration 149	Error 0.000059
Iteration 150	Error 0.000059
Iteration 151	Error 0.000057
Iteration 152	Error 0.000056
Iteration 153	Error 0.000054
Iteration 154	Error 0.000050
Iteration 155	Error 0.000046
Iteration 156	Error 0.000045
Iteration 157	Error 0.000043
Iteration 158	Error 0.000041
Iteration 159	Error 0.000040
Iteration 160	Error 0.000038
Iteration 161	Error 0.000036
Iteration 162	Error 0.000034
Iteration 163	Error 0.000033
