Iteration 0	Error 36.4154809569
Iteration 1	Error 5.3671360795
Iteration 2	Error 3.5716136340
Iteration 3	Error 2.7452211798
Iteration 4	Error 2.2099893966
Iteration 5	Error 1.8278778518
Iteration 6	Error 1.2059653738
Iteration 7	Error 0.9320522895
Iteration 8	Error 0.7662685569
Iteration 9	Error 0.6449589088
Iteration 10	Error 0.5512425158
Iteration 11	Error 0.4741374472
Iteration 12	Error 0.4126498819
Iteration 13	Error 0.3621809795
Iteration 14	Error 0.3218113710
Iteration 15	Error 0.2905177549
Iteration 16	Error 0.2676260013
Iteration 17	Error 0.2514654087
Iteration 18	Error 0.2407673525
Iteration 19	Error 0.2344549838
Iteration 20	Error 0.2290417948
Iteration 21	Error 0.2111975184
Iteration 22	Error 0.1799717409
Iteration 23	Error 0.1563589563
Iteration 24	Error 0.1358029011
Iteration 25	Error 0.1182199749
Iteration 26	Error 0.1017625297
Iteration 27	Error 0.0868954186
Iteration 28	Error 0.0737909929
Iteration 29	Error 0.0629161482
Iteration 30	Error 0.0537985586
Iteration 31	Error 0.0453794029
Iteration 32	Error 0.0381029793
Iteration 33	Error 0.0323730469
Iteration 34	Error 0.0277002166
Iteration 35	Error 0.0237875326
Iteration 36	Error 0.0208022537
Iteration 37	Error 0.0188079813
Iteration 38	Error 0.0168863844
Iteration 39	Error 0.0151276468
Iteration 40	Error 0.0134687767
Iteration 41	Error 0.0120131289
Iteration 42	Error 0.0106916426
Iteration 43	Error 0.0094487403
Iteration 44	Error 0.0084201547
Iteration 45	Error 0.0076225409
Iteration 46	Error 0.0071090057
Iteration 47	Error 0.0068114566
Iteration 48	Error 0.0067145281
Iteration 49	Error 0.0068172304
Iteration 50	Error 0.0057377631
Iteration 51	Error 0.0044391790
Iteration 52	Error 0.0039690766
Iteration 53	Error 0.0038442313
Iteration 54	Error 0.0032205439
Iteration 55	Error 0.0029986266
Iteration 56	Error 0.0024379126
Iteration 57	Error 0.0021377380
Iteration 58	Error 0.0018162010
Iteration 59	Error 0.0016016490
Iteration 60	Error 0.0014798286
Iteration 61	Error 0.0013323727
Iteration 62	Error 0.0012423677
Iteration 63	Error 0.0011098907
Iteration 64	Error 0.0009772138
Iteration 65	Error 0.0008479753
Iteration 66	Error 0.0007380013
Iteration 67	Error 0.0006613030
Iteration 68	Error 0.0006203951
Iteration 69	Error 0.0006389066
Iteration 70	Error 0.0005816093
Iteration 71	Error 0.0004884907
Iteration 72	Error 0.0004215804
Iteration 73	Error 0.0003362349
Iteration 74	Error 0.0002856353
Iteration 75	Error 0.0002525061
Iteration 76	Error 0.0002252421
Iteration 77	Error 0.0002047285
Iteration 78	Error 0.0001869402
Iteration 79	Error 0.0001709179
Iteration 80	Error 0.0001571452
Iteration 81	Error 0.0001428040
Iteration 82	Error 0.0001326840
Iteration 83	Error 0.0001213511
Iteration 84	Error 0.0001089614
Iteration 85	Error 0.0000990154
Iteration 86	Error 0.0000912353
Iteration 87	Error 0.0000796050
Iteration 88	Error 0.0000690503
Iteration 89	Error 0.0000599088
Iteration 90	Error 0.0000528480
Iteration 91	Error 0.0000485752
Iteration 92	Error 0.0000453093
Iteration 93	Error 0.0000425679
Iteration 94	Error 0.0000409282
Iteration 95	Error 0.0000373294
Iteration 96	Error 0.0000317230
Iteration 97	Error 0.0000267086
Iteration 98	Error 0.0000232235
Iteration 99	Error 0.0000198091
Iteration 100	Error 0.0000165869
Iteration 101	Error 0.0000142955
Iteration 102	Error 0.0000122282
Iteration 103	Error 0.0000108740
Iteration 104	Error 0.0000096367
Iteration 105	Error 0.0000086323
Iteration 106	Error 0.0000078684
Iteration 107	Error 0.0000071540
Iteration 108	Error 0.0000065727
Iteration 109	Error 0.0000061352
Iteration 110	Error 0.0000056767
Iteration 111	Error 0.0000052297
Iteration 112	Error 0.0000048394
Iteration 113	Error 0.0000045005
Iteration 114	Error 0.0000041303
Iteration 115	Error 0.0000037475
Iteration 116	Error 0.0000033895
Iteration 117	Error 0.0000030877
Iteration 118	Error 0.0000027960
Iteration 119	Error 0.0000025149
Iteration 120	Error 0.0000022697
Iteration 121	Error 0.0000020693
Iteration 122	Error 0.0000017917
Iteration 123	Error 0.0000015960
Iteration 124	Error 0.0000014347
Iteration 125	Error 0.0000012419
Iteration 126	Error 0.0000010933
Iteration 127	Error 0.0000009909
Iteration 128	Error 0.0000008661
Iteration 129	Error 0.0000007367
Iteration 130	Error 0.0000006512
Iteration 131	Error 0.0000005885
Iteration 132	Error 0.0000005348
Iteration 133	Error 0.0000004791
Iteration 134	Error 0.0000004283
Iteration 135	Error 0.0000003856
Iteration 136	Error 0.0000003517
Iteration 137	Error 0.0000003200
Iteration 138	Error 0.0000002920
Iteration 139	Error 0.0000002652
Iteration 140	Error 0.0000002430
Iteration 141	Error 0.0000002263
Iteration 142	Error 0.0000002121
Iteration 143	Error 0.0000001963
Iteration 144	Error 0.0000001774
Iteration 145	Error 0.0000001601
Iteration 146	Error 0.0000001453
Iteration 147	Error 0.0000001309
Iteration 148	Error 0.0000001162
Iteration 149	Error 0.0000001037
Iteration 150	Error 0.0000000930
Iteration 151	Error 0.0000000809
Iteration 152	Error 0.0000000700
Iteration 153	Error 0.0000000616
Iteration 154	Error 0.0000000557
Iteration 155	Error 0.0000000508
Iteration 156	Error 0.0000000449
Iteration 157	Error 0.0000000387
Iteration 158	Error 0.0000000334
Iteration 159	Error 0.0000000299
Iteration 160	Error 0.0000000276
Iteration 161	Error 0.0000000253
Iteration 162	Error 0.0000000226
Iteration 163	Error 0.0000000200
Iteration 164	Error 0.0000000177
Iteration 165	Error 0.0000000157
Iteration 166	Error 0.0000000140
Iteration 167	Error 0.0000000127
Iteration 168	Error 0.0000000118
Iteration 169	Error 0.0000000112
Iteration 170	Error 0.0000000104
Iteration 171	Error 0.0000000095
