Iteration 1	Error 0.107077368
Iteration 2	Error 0.049219612
Iteration 3	Error 0.033703144
Iteration 4	Error 0.026163848
Iteration 5	Error 0.021646938
Iteration 6	Error 0.018605375
Iteration 7	Error 0.016400661
Iteration 8	Error 0.014719769
Iteration 9	Error 0.013390270
Iteration 10	Error 0.012308901
Iteration 11	Error 0.011409812
Iteration 12	Error 0.010648905
Iteration 13	Error 0.009995461
Iteration 14	Error 0.009427388
Iteration 15	Error 0.008928359
Iteration 16	Error 0.008486032
Iteration 17	Error 0.008090893
Iteration 18	Error 0.007735481
Iteration 19	Error 0.007413860
Iteration 20	Error 0.007121242
Iteration 21	Error 0.006853719
Iteration 22	Error 0.006608073
Iteration 23	Error 0.006381623
Iteration 24	Error 0.006172121
Iteration 25	Error 0.005977663
Iteration 26	Error 0.005796628
Iteration 27	Error 0.005627629
Iteration 28	Error 0.005469465
Iteration 29	Error 0.005321098
Iteration 30	Error 0.005181620
Iteration 31	Error 0.005050237
Iteration 32	Error 0.004926250
Iteration 33	Error 0.004809039
Iteration 34	Error 0.004698054
Iteration 35	Error 0.004592807
Iteration 36	Error 0.004492858
Iteration 37	Error 0.004397813
Iteration 38	Error 0.004307317
Iteration 39	Error 0.004221047
Iteration 40	Error 0.004138713
Iteration 41	Error 0.004060049
Iteration 42	Error 0.003984813
Iteration 43	Error 0.003912782
Iteration 44	Error 0.003843752
Iteration 45	Error 0.003777537
Iteration 46	Error 0.003713965
Iteration 47	Error 0.003652874
Iteration 48	Error 0.003594118
Iteration 49	Error 0.003537561
Iteration 50	Error 0.003483074
Iteration 51	Error 0.003430539
Iteration 52	Error 0.003379847
Iteration 53	Error 0.003330895
Iteration 54	Error 0.003283588
Iteration 55	Error 0.003237834
Iteration 56	Error 0.003193552
Iteration 57	Error 0.003150662
Iteration 58	Error 0.003109091
Iteration 59	Error 0.003068770
Iteration 60	Error 0.003029634
Iteration 61	Error 0.002991624
Iteration 62	Error 0.002954681
Iteration 63	Error 0.002918753
Iteration 64	Error 0.002883789
Iteration 65	Error 0.002849742
Iteration 66	Error 0.002816567
Iteration 67	Error 0.002784223
Iteration 68	Error 0.002752671
Iteration 69	Error 0.002721872
Iteration 70	Error 0.002691793
Iteration 71	Error 0.002662400
Iteration 72	Error 0.002633662
Iteration 73	Error 0.002605550
Iteration 74	Error 0.002578037
Iteration 75	Error 0.002551096
Iteration 76	Error 0.002524703
Iteration 77	Error 0.002498835
Iteration 78	Error 0.002473470
Iteration 79	Error 0.002448588
Iteration 80	Error 0.002424168
Iteration 81	Error 0.002400193
Iteration 82	Error 0.002376645
Iteration 83	Error 0.002353508
Iteration 84	Error 0.002330766
Iteration 85	Error 0.002308405
Iteration 86	Error 0.002286410
Iteration 87	Error 0.002264769
Iteration 88	Error 0.002243469
Iteration 89	Error 0.002222498
Iteration 90	Error 0.002201845
Iteration 91	Error 0.002181500
Iteration 92	Error 0.002161452
Iteration 93	Error 0.002141692
Iteration 94	Error 0.002122211
Iteration 95	Error 0.002103001
Iteration 96	Error 0.002084053
Iteration 97	Error 0.002065359
Iteration 98	Error 0.002046913
Iteration 99	Error 0.002028706
Iteration 100	Error 0.002010734
Iteration 101	Error 0.001992988
Iteration 102	Error 0.001975463
Iteration 103	Error 0.001958154
Iteration 104	Error 0.001941055
Iteration 105	Error 0.001924161
Iteration 106	Error 0.001907466
Iteration 107	Error 0.001890966
Iteration 108	Error 0.001874657
Iteration 109	Error 0.001858533
Iteration 110	Error 0.001842592
Iteration 111	Error 0.001826828
Iteration 112	Error 0.001811238
Iteration 113	Error 0.001795819
Iteration 114	Error 0.001780566
Iteration 115	Error 0.001765477
Iteration 116	Error 0.001750549
