Iteration 1	Error 0.157164238
Iteration 2	Error 0.063758315
Iteration 3	Error 0.042973948
Iteration 4	Error 0.033251153
Iteration 5	Error 0.027460300
Iteration 6	Error 0.023564708
Iteration 7	Error 0.020741258
Iteration 8	Error 0.018588629
Iteration 9	Error 0.016886097
Iteration 10	Error 0.015501529
Iteration 11	Error 0.014350675
Iteration 12	Error 0.013377137
Iteration 13	Error 0.012541658
Iteration 14	Error 0.011816030
Iteration 15	Error 0.011179435
Iteration 16	Error 0.010616151
Iteration 17	Error 0.010114061
Iteration 18	Error 0.009663655
Iteration 19	Error 0.009257347
Iteration 20	Error 0.008888988
Iteration 21	Error 0.008553532
Iteration 22	Error 0.008246781
Iteration 23	Error 0.007965205
Iteration 24	Error 0.007705808
Iteration 25	Error 0.007466022
Iteration 26	Error 0.007243637
Iteration 27	Error 0.007036731
Iteration 28	Error 0.006843631
Iteration 29	Error 0.006662873
Iteration 30	Error 0.006493170
Iteration 31	Error 0.006333391
Iteration 32	Error 0.006182537
Iteration 33	Error 0.006039726
Iteration 34	Error 0.005904177
Iteration 35	Error 0.005775200
Iteration 36	Error 0.005652184
Iteration 37	Error 0.005534584
Iteration 38	Error 0.005421920
Iteration 39	Error 0.005313764
Iteration 40	Error 0.005209734
Iteration 41	Error 0.005109494
Iteration 42	Error 0.005012742
Iteration 43	Error 0.004919210
Iteration 44	Error 0.004828659
Iteration 45	Error 0.004740876
Iteration 46	Error 0.004655669
Iteration 47	Error 0.004572868
Iteration 48	Error 0.004492320
Iteration 49	Error 0.004413887
Iteration 50	Error 0.004337447
Iteration 51	Error 0.004262886
Iteration 52	Error 0.004190106
Iteration 53	Error 0.004119016
Iteration 54	Error 0.004049532
Iteration 55	Error 0.003981580
Iteration 56	Error 0.003915091
Iteration 57	Error 0.003850005
Iteration 58	Error 0.003786263
Iteration 59	Error 0.003723813
Iteration 60	Error 0.003662607
Iteration 61	Error 0.003602602
Iteration 62	Error 0.003543755
Iteration 63	Error 0.003486029
Iteration 64	Error 0.003429388
Iteration 65	Error 0.003373799
Iteration 66	Error 0.003319231
Iteration 67	Error 0.003265656
Iteration 68	Error 0.003213046
Iteration 69	Error 0.003161375
Iteration 70	Error 0.003110619
Iteration 71	Error 0.003060756
Iteration 72	Error 0.003011762
Iteration 73	Error 0.002963618
Iteration 74	Error 0.002916304
Iteration 75	Error 0.002869801
Iteration 76	Error 0.002824091
Iteration 77	Error 0.002779156
Iteration 78	Error 0.002734980
Iteration 79	Error 0.002691546
Iteration 80	Error 0.002648841
Iteration 81	Error 0.002606848
Iteration 82	Error 0.002565553
Iteration 83	Error 0.002524943
Iteration 84	Error 0.002485003
Iteration 85	Error 0.002445722
Iteration 86	Error 0.002407086
Iteration 87	Error 0.002369084
Iteration 88	Error 0.002331703
Iteration 89	Error 0.002294932
Iteration 90	Error 0.002258759
Iteration 91	Error 0.002223174
Iteration 92	Error 0.002188166
Iteration 93	Error 0.002153725
Iteration 94	Error 0.002119840
Iteration 95	Error 0.002086502
Iteration 96	Error 0.002053701
Iteration 97	Error 0.002021427
Iteration 98	Error 0.001989672
Iteration 99	Error 0.001958427
Iteration 100	Error 0.001927681
Iteration 101	Error 0.001897428
Iteration 102	Error 0.001867659
Iteration 103	Error 0.001838364
Iteration 104	Error 0.001809537
Iteration 105	Error 0.001781170
Iteration 106	Error 0.001753253
Iteration 107	Error 0.001725781
Iteration 108	Error 0.001698746
Iteration 109	Error 0.001672140
Iteration 110	Error 0.001645956
Iteration 111	Error 0.001620187
Iteration 112	Error 0.001594826
Iteration 113	Error 0.001569867
Iteration 114	Error 0.001545303
Iteration 115	Error 0.001521127
Iteration 116	Error 0.001497334
Iteration 117	Error 0.001473916
Iteration 118	Error 0.001450868
Iteration 119	Error 0.001428184
Iteration 120	Error 0.001405857
Iteration 121	Error 0.001383882
Iteration 122	Error 0.001362254
Iteration 123	Error 0.001340966
Iteration 124	Error 0.001320013
Iteration 125	Error 0.001299390
Iteration 126	Error 0.001279091
Iteration 127	Error 0.001259112
Iteration 128	Error 0.001239446
Iteration 129	Error 0.001220090
Iteration 130	Error 0.001201038
Iteration 131	Error 0.001182284
Iteration 132	Error 0.001163826
Iteration 133	Error 0.001145657
Iteration 134	Error 0.001127773
Iteration 135	Error 0.001110169
Iteration 136	Error 0.001092842
Iteration 137	Error 0.001075786
Iteration 138	Error 0.001058997
Iteration 139	Error 0.001042472
Iteration 140	Error 0.001026205
Iteration 141	Error 0.001010194
Iteration 142	Error 0.000994433
Iteration 143	Error 0.000978919
Iteration 144	Error 0.000963647
Iteration 145	Error 0.000948615
Iteration 146	Error 0.000933818
Iteration 147	Error 0.000919253
Iteration 148	Error 0.000904915
Iteration 149	Error 0.000890802
Iteration 150	Error 0.000876909
Iteration 151	Error 0.000863234
Iteration 152	Error 0.000849772
Iteration 153	Error 0.000836521
Iteration 154	Error 0.000823477
Iteration 155	Error 0.000810637
Iteration 156	Error 0.000797998
Iteration 157	Error 0.000785556
Iteration 158	Error 0.000773308
Iteration 159	Error 0.000761252
Iteration 160	Error 0.000749384
Iteration 161	Error 0.000737701
Iteration 162	Error 0.000726201
Iteration 163	Error 0.000714881
Iteration 164	Error 0.000703737
Iteration 165	Error 0.000692767
Iteration 166	Error 0.000681969
Iteration 167	Error 0.000671339
Iteration 168	Error 0.000660875
Iteration 169	Error 0.000650575
Iteration 170	Error 0.000640435
